answers_distance,ground_truth_distance
0.46,0.32
0.83,0.98
0.50,0.73
0.49,0.33
0.32,0.68
0.33,0.24
0.65,0.79
0.65,0.42
0.25,0.47
0.73,1.13
0.21,0.69
0.34,0.23
0.47,0.54
0.19,0.23
0.24,0.21
0.57,0.53
1.35,1.30
0.69,1.04
0.90,0.94
0.31,0.44
0.45,0.26
0.20,0.39
0.31,1.30
0.40,0.66
0.22,0.35
0.38,0.37
0.54,0.44
0.40,0.38
0.34,0.22
0.23,0.26
0.55,0.25
0.33,0.26
0.46,0.60
0.29,0.28
0.30,0.31
0.36,0.58
0.95,0.81
0.98,0.68
0.64,0.89
0.78,0.88
0.27,0.59
0.28,0.61
0.85,0.89
0.39,0.62
0.98,0.77
0.98,1.07
0.90,0.55
1.05,0.75
0.51,0.69
0.52,0.17
0.38,0.66
0.36,0.30
0.64,0.74
0.26,0.37
0.16,0.11
0.57,0.09
0.50,0.45
0.68,0.28
1.17,0.24
0.32,0.23
0.44,0.87
0.53,0.21
0.44,0.69
0.32,0.44
0.50,0.97
0.39,0.26
0.43,0.24
0.65,0.35
0.28,0.37
0.31,0.16
0.80,0.59
0.54,0.28
0.48,0.31
0.31,0.29
0.42,0.45
0.16,0.42
0.44,0.48
0.50,0.68
0.38,0.28
0.23,0.36
0.42,0.45
0.28,0.26
0.13,1.28
0.66,0.50
0.58,0.46
0.41,0.48
0.74,0.49
0.28,0.25
0.45,0.25
0.50,0.57
0.94,1.13
0.71,0.56
0.45,0.59
0.31,0.10
0.47,0.67
0.61,0.84
0.61,0.67
0.12,0.14
0.39,0.55
0.86,0.15
0.36,0.37
0.22,0.52
0.46,0.58
0.43,0.25
0.37,0.24
0.81,0.66
0.24,0.30
0.19,0.27
1.16,0.77
0.87,0.50
0.55,0.24
0.32,0.29
0.43,0.38
0.35,0.67
0.16,0.21
0.31,0.22
0.40,0.41
0.51,0.26
1.22,1.51
0.21,0.15
0.12,0.17
1.14,1.25
0.30,0.29
0.53,1.18
0.27,0.29
0.38,0.35
0.36,0.46
0.36,0.17
0.24,0.34
0.52,0.53
0.63,0.55
0.77,0.80
0.26,0.53
0.57,0.53
0.43,0.42
0.59,0.33
0.81,0.35
1.33,1.32
0.72,0.77
0.66,0.55
0.93,0.88
0.95,0.62
0.78,0.56
0.11,0.12
0.14,0.55
0.51,0.23
0.09,0.04
0.16,0.14
0.30,0.33
0.12,0.27
0.38,0.43
0.15,0.32
1.24,0.70
0.16,0.24
0.27,0.13
0.38,0.34
0.56,0.50
0.17,0.34
0.37,0.13
0.39,0.42
0.36,0.21
0.44,0.55
0.36,0.24
0.67,0.13
0.30,0.18
0.37,0.57
0.51,0.75
0.51,0.42
0.35,0.71
0.59,0.48
0.38,0.40
1.04,0.25
0.07,0.15
0.77,0.29
0.20,0.15
0.61,0.86
0.43,0.24
0.73,0.43
0.22,0.24
0.48,0.63
0.76,0.45
0.31,0.24
0.35,0.33
0.59,0.55
0.11,0.33
0.30,0.21
0.16,0.30
0.62,0.07
0.13,0.25
0.38,0.49
0.49,0.15
1.04,0.66
0.79,0.80
0.12,0.14
0.58,0.90
0.32,0.19
0.32,0.75
0.38,0.25
0.50,0.64
0.11,0.20
0.26,0.18
0.60,0.72
0.38,0.33
0.64,0.90
0.10,0.18
0.97,0.83
0.13,0.11
0.58,0.57
0.41,1.21
0.24,0.62
0.83,1.10
0.20,0.67
0.52,0.16
0.28,0.17
0.30,0.38
0.28,0.39
0.44,0.41
0.46,0.56
0.83,0.61
0.85,0.24
0.32,0.34
0.48,0.58
0.66,0.20
0.57,0.33
0.36,0.54
0.63,0.85
0.47,0.16
0.87,1.04
0.41,0.38
0.38,0.44
0.82,0.02
0.67,0.85
