question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",148.831;161.164;161.587;164.811;169.87;180.849,164.52,0.75
"What are the residues and their contacts that contribute to the similarities in activation pathways?",132.622;156.514;158.293;161.684;166.843,155.19,0.77
"Are these residues conserved and significantly part of certain structural elements?",233.204;238.784;238.803;241.797;249.311,240.38,0.58
"Are there significant rearrangements in the process of activation?",235.226;236.446;237.421,236.36,0.59
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",83.957;87.557;91.115;96.363,89.75,0.91
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",77.806;89.083;94.211,87.03,0.92
"Is there any preference for the phosphorylation of regions in receptors?",197.122;203.311;212.032,204.16,0.66
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",133.798;136.137;136.828,135.59,0.81
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",79.957;112.932;121.611,104.83,0.88
"Which residue positions in the barcode are universally conserved? ",248.807;234.844;246.34,243.33,0.57
"How GPCRs recognize G-protein barcodes?",155.877;164.709;180.284,166.96,0.74
"What is the over model for the GPCR-G protein interaction selectivities?",155.064;159.667;168.726,161.15,0.75
"Is there a selectivity bar code in RGS for GPCR binding?",170.012;180.97;185.321;204.178,185.12,0.70
"What is the structural preference for selectivity barcode residues of RGS?",129.73;135.88;156.307,140.64,0.80
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",122.033;139.333;139.748;147.038,137.04,0.81
"What is the overall mechanism for RGS-Galpha-based signaling?",173.714;188.018;189.518;192.955;196.608,188.16,0.69
"What is the mechanism through which the sensor works?",291.333;304.824;307.472,301.21,0.44
"In which cell lines did the sensor give predicted or unexpected results?",256.783;257.455;257.876;260.202,258.08,0.54
"How were unexpected results validated? Which orthogonal assays were used?",273.81;289.334;291.834,284.99,0.48
"What is the sequence of G protein activation steps?",195.888;198.871;202.44;212.235,202.36,0.66
"Summarize what is happening with GPCR during G protein activation?",139.259;144.064;148.141;155.076,146.63,0.79
"Which technologies were used to measure G protein activation?",156.909;160.362;161.302,159.52,0.76
"What is the difference between cell surface membrane signaling and endosomal signaling?",200.536;222.248;233.982,218.92,0.62
"Which sensors or assays can be used to explain different compartmentalization of signaling?",197.481;210.56;210.905;227.87,211.70,0.64
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",113.871;119.413;127.897,120.39,0.84
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",145.345;145.555;153.311,148.07,0.78
"Which regions of GPCR modulate ligand efficacy and which potency?",160.494;168.961;175.965,168.47,0.74
"How do human and mouse TAAR1 differentiate between different ligands?",117.631;137.497;138.671,131.27,0.82
"What is the basis of polypharmacology on TAAR1 receptors?",149.577;153.699;161.348;173.459,159.52,0.76
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",112.414;135.808;141.608,129.94,0.82
"In which physiological or pathophysiological processes is TAAR1 signaling active?",162.852;182.659;188.409,177.97,0.72
"How are GPCR and kinase signaling connected?",150.773;160.768;162.409;169.053,160.75,0.75
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",136.382;136.724;144.998,139.37,0.80
"In which therapeutic areas we could target RTK/GPCR crosstalk?",157.06;166.124;200.541,174.57,0.72
"What is the mechanism of GPCR-related gene transcription? ",195.092;195.81;203.438,198.11,0.67
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",94.92;106.899;120.19,107.34,0.87
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",211.324;165.439;176.23;192.181,186.29,0.70
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",152.094;153.517;163.111,156.24,0.76
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",144.543;154.554;165.269;181.537,161.48,0.75
"How much dynamic range was achieved with this sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",179.071;179.354;180.46;182.367;187.642,181.78,0.71
"Was the sensor engineered further in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",141.146;161.701;162.277,155.04,0.77
"Which signaling molecule does the sensor measure in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",169.088;169.191;172.748,170.34,0.73
"How much is the specificity achieved in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",145.676;146.332;152.624,148.21,0.78
"Which transcription factor response element has been used for the sensor in the article - A high-throughput CRISPR interference screen for dissecting functional regulators of GPCR/cAMP signaling?",164.141;164.642;175.024,167.94,0.74
"Which model system has been used in the work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",86.917;149.144;151.99,129.35,0.82
"How many GPCRs have been targeted  in this paper - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",113.703;114.778;122.368;133.756,121.15,0.84
"Which molecules have been tested for the sensor response in this article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",129.724;148.714;158.004,145.48,0.79
"Did they build a stable cell-line for this work - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",101.722;130.126;134.174;141.853,126.97,0.83
"What was the rate of false-positive in the article - DCyFIR: a high-throughput CRISPR platform for multiplexed G protein-coupled receptor profiling and ligand discovery?",161.431;181.73;182.197;195.706,180.27,0.71
"What are the key capabilities and features of the G-protein activity biosensors?",131.897;133.978;134.774;148.585,137.31,0.81
"What are some potential limitations of the biosensor design mentioned in the article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",139.544;143.6;153.78,145.64,0.79
"How does the expression level of the biosensors impact normal G-protein signaling? ",124.009;131.017;154.595,136.54,0.81
"Does levels of biosensor expression interfere with downstream signaling pathways?",176.081;200.385;204.001,193.49,0.68
"Are any beta-arrestins measured in this article - Revealing the Activity of Trimeric G-proteins in Live Cells with a Versatile Biosensor Design?",126.271;143.673;144.272;162.792,144.25,0.79
"What is the CRISPR-coupled GPCR ChaCha system? ",114.634;130.676;134.446;145.381,131.28,0.82
"What ligands can activate the CRISPR ChaCha systems?",138.725;139.964;144.167;152.772,143.91,0.79
"What advantages does the ChaCha system offer over the Tango architecture? ",293.82;304.586;310.796;321.663,307.72,0.43
"What are the limitations of the CRISPR ChaCha system? ",201.412;203.587;211.342,205.45,0.65
"Which other systems can CRISPR ChaCha be applied to?",187.824;189.262;194.001,190.36,0.69
"What are the proofs of pathogenic gain-of-mutations can shift the equilibrium towards the active state in FGFRs?",122.686;145.311;147.182,138.39,0.80
"List all the FGFR mutations that were used in the experiments.",184.404;199.983;201.534;204.206,197.53,0.67
"Which FGFR2 mutant has the lowest substrate phosphorylation activity?",170.859;181.123;181.168;182.619,178.94,0.71
"Is there any binding data about FGFR2 kinase domain and C-terminal interaction? If yes, list the binding affinity values too.",147.102;164.296;165.291;169.116;178.379,164.84,0.74
"What is the interaction mechanism between FGFR2, SHP2 and PLC_1? Summarize it in a bulleted list.",117.66;120.475;127.731,121.96,0.84
"Provide me all the affinity binding data for FGFR2 ï¿½ SHP2, FGFR2 - PLC_1, FGFR8 ï¿½ SHP2 and SHP2 - PLC_1.",176.408;182.876;184.568,181.28,0.71
"What things can affect the interaction between FGFR2 and SHP2?",127.44;140.595;143.037;156.194,141.82,0.80
"How can be the FGFR2-SHP2 interaction affected?",126.49;134.692;135.447;146.299,135.73,0.81
"What is the difference between a canonical and non-canonical SH2 domain interaction?",253.229;265.454;266.948,261.88,0.53
"Provide a bulleted list of the main findings from the paper ï¿½Group I and II mammalian PAKs have different modes of activation by Cdc42ï¿½. ",108.997;122.066;143.719,124.93,0.83
"Does regulatory domain inhibit PAK4?",151.788;164.301;170.022,162.04,0.75
"What are the Kd values for peptide binding of PAK4? ",175.555;179.151;199.171,184.63,0.70
"List me the construct boundaries of PAK4 in the experiments.",212.866;237.13;238.734;241.499;246.321,235.31,0.59
"List me the PAK4 construct boundaries in the experiments.",214.079;240.742;241.969;243.202;251.53,238.30,0.58
"What is known about the inhibition and activation of PAK4?",143.822;146.132;163.257,151.07,0.78
"What is known about PAK4 structure?",236.068;217.308;231.927,228.43,0.60
"Is there any interaction between PAKs and FGFRs?",256.842;262.696;276.065,265.20,0.52
"What is the main substrate of MNK1 kinase?",273.363;278.257;281.05,277.56,0.49
"How many variants of PAK, FGFR and MASP exist in the human body? List me the names too.",215.308;228.564;236.345,226.74,0.61
"Does the study suggest that  the regions with low modeled confidence, as predicted by AF2, undergo significant atomic displacement?",156.814;213.375;233.345,201.18,0.66
"Were any notable differences observed in the conformational landscape of AlphaFold2 predicted protein kinase structures as compared to the experimentally determined structures?                         OR                                                                                                                         Did the study identify significant disparities in the conformational landscape between AlphaFold2-predicted protein kinase structures and experimentally determined ones?",99.38;111.01;112.126;116.173;131.02,113.94,0.86
"Does combining a shallow MSA with state annotated templates achieve accuracy in predicting the active state of kinase?",159.249;193.286;194.748,182.43,0.71
"How does the proposed pipeline address neural network biases and biases towards specific structural conformations within the AlphaFold2 training set?",164.304;167.7;197.991,176.66,0.72
"Tabulate the different ligand types in kinase  and their associated details.",159.493;168.96;191.266,173.24,0.73
