question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",164.253;165.25;169.97;183.091,170.64,0.73
"What are the residues and their contacts that contribute to the similarities in activation pathways?",155.842;163.012;163.784;168.476,162.78,0.75
"Are these residues conserved and significantly part of certain structural elements?",238.784;248.913;251.744,246.48,0.56
"Are there significant rearrangements in the process of activation?",243.098;244.262;244.919;245.728;247.325,245.07,0.57
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",88.979;96.814;108.708,98.17,0.89
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",77.177;88.769;108.542,91.50,0.91
"Is there any preference for the phosphorylation of regions in receptors?",206.875;220.826;221.069;221.727;223.258,218.75,0.62
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",140.818;133.578;134.064;147.613,139.02,0.80
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",95.549;131.957;134.881,120.80,0.84
"Which residue positions in the barcode are universally conserved? ",251.888;256.042;258.041;260.126;265.529,258.33,0.54
"How GPCRs recognize G-protein barcodes?",180.216;183.638;161.639,175.16,0.72
"What is the over model for the GPCR-G protein interaction selectivities?",159.667;166.017;170.312,165.33,0.74
"Is there a selectivity bar code in RGS for GPCR binding?",182.395;204.593;205.147,197.38,0.67
"What is the structural preference for selectivity barcode residues of RGS?",154.624;166.21;169.879;173.601,166.08,0.74
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",139.806;148.622;151.371,146.60,0.79
"What is the overall mechanism for RGS-Galpha-based signaling?",176.532;195.122;207.435,193.03,0.68
"What is the mechanism through which the sensor works?",317.669;321.032;324.219,320.97,0.40
"In which cell lines did the sensor give predicted or unexpected results?",254.797;257.455;257.876;261.724;274.605,261.29,0.53
"How were unexpected results validated? Which orthogonal assays were used?",286.604;291.294;293.212;295.964;302.787,293.97,0.46
"What is the sequence of G protein activation steps?",211.11;217.038;223.772,217.31,0.63
"Summarize what is happening with GPCR during G protein activation?",156.992;164.222;164.591;168.194,163.50,0.75
"Which technologies were used to measure G protein activation?",158.55;174.794;176.042,169.80,0.73
"What is the difference between cell surface membrane signaling and endosomal signaling?",203.765;227.158;235.207,222.04,0.62
"Which sensors or assays can be used to explain different compartmentalization of signaling?",197.481;215.939;219.19,210.87,0.64
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",123.41;135.429;138.12;143.07,135.01,0.81
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",147.32;156.222;159.301;170.799,158.41,0.76
"Which regions of GPCR modulate ligand efficacy and which potency?",177.523;182.98;192.143,184.22,0.70
"How do human and mouse TAAR1 differentiate between different ligands?",148.622;150.867;154.197;161.916,153.90,0.77
"What is the basis of polypharmacology on TAAR1 receptors?",185.118;187.69;196.834,189.88,0.69
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",148.534;153.191;156.433,152.72,0.77
"In which physiological or pathophysiological processes is TAAR1 signaling active?",179.109;212.301;212.876;220.933,206.30,0.65
"How are GPCR and kinase signaling connected?",167.664;172.097;173.821,171.19,0.73
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",146.936;146.601;149.62;152.681,148.96,0.78
"In which therapeutic areas we could target RTK/GPCR crosstalk?",156.363;196.596;197.801;208.189,189.74,0.69
"What is the mechanism of GPCR-related gene transcription? ",194.778;207.332;207.783;212.413,205.58,0.65
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",105.63;114.978;125.675,115.43,0.85
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",178.922;186.512;211.324,192.25,0.68
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",150.346;163.111;164.463;176.64,163.64,0.75
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",156.663;166.19;192.357,171.74,0.73
