question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",145.504;163.084;177.466,162.02,0.75
"What are the residues and their contacts that contribute to the similarities in activation pathways?",142.121;158.955;163.322,154.80,0.77
"Are these residues conserved and significantly part of certain structural elements?",219.88;249.398;250.096;255.445,243.70,0.57
"Are there significant rearrangements in the process of activation?",224.967;240.94;243.268;249.094,239.57,0.58
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",87.209;99.098;107.295,97.87,0.89
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",76.774;102.045;106.624,95.15,0.90
"Is there any preference for the phosphorylation of regions in receptors?",205.747;216.981;223.001,215.24,0.63
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",132.844;139.735;141.371;146.117,140.02,0.80
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",95.291;136.993;144.118,125.47,0.83
"Which residue positions in the barcode are universally conserved? ",237.44;253.25;257.766,249.49,0.56
"How GPCRs recognize G-protein barcodes?",185.972;164.54;180.536;180.868;191.273,180.64,0.71
"What is the over model for the GPCR-G protein interaction selectivities?",161.781;168.228;172.026,167.34,0.74
"Is there a selectivity bar code in RGS for GPCR binding?",179.54;203.911;207.983,197.14,0.67
"What is the structural preference for selectivity barcode residues of RGS?",164.671;171.092;176.449;183.461,173.92,0.72
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",124.364;137.985;145.001;152.046,139.85,0.80
"What is the overall mechanism for RGS-Galpha-based signaling?",173.217;176.848;193.176,181.08,0.71
"What is the mechanism through which the sensor works?",319.99;325.002;325.059;325.19;326.513,324.35,0.39
"In which cell lines did the sensor give predicted or unexpected results?",255.603;269.858;270.35;274.118,267.48,0.52
"How were unexpected results validated? Which orthogonal assays were used?",295.593;295.726;300.414;306.407,299.53,0.45
"What is the sequence of G protein activation steps?",212.653;217.633;226.306,218.86,0.62
"Summarize what is happening with GPCR during G protein activation?",152.787;168.128;168.303;172.911;179.919,168.41,0.74
"Which technologies were used to measure G protein activation?",142.53;173.048;180.197,165.26,0.74
"What is the difference between cell surface membrane signaling and endosomal signaling?",229.584;234.095;235.35;243.531,235.64,0.59
"Which sensors or assays can be used to explain different compartmentalization of signaling?",217.725;217.979;227.691,221.13,0.62
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",127.654;136.43;142.538,135.54,0.81
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",145.242;164.063;169.682,159.66,0.76
"Which regions of GPCR modulate ligand efficacy and which potency?",193.272;193.601;194.485,193.79,0.68
"How do human and mouse TAAR1 differentiate between different ligands?",127.595;149.168;150.964;165.896,148.41,0.78
"What is the basis of polypharmacology on TAAR1 receptors?",161.099;172.806;185.654,173.19,0.73
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",130.98;150.278;156.827,146.03,0.79
"In which physiological or pathophysiological processes is TAAR1 signaling active?",175.462;206.016;213.125,198.20,0.67
"How are GPCR and kinase signaling connected?",168.323;169.655;175.631,171.20,0.73
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",145.189;148.768;155.133,149.70,0.78
"In which therapeutic areas we could target RTK/GPCR crosstalk?",159.506;192.79;203.339,185.21,0.70
"What is the mechanism of GPCR-related gene transcription? ",193.77;199.96;210.959,201.56,0.66
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",104.061;108.097;133.153,115.10,0.86
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",173.215;178.122;205.283,185.54,0.70
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",149.007;157.537;165.631;174.797,161.74,0.75
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",155.23;155.601;185.083,165.30,0.74
