question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",134.325;135.235;154.77,141.44,0.80
"What are the residues and their contacts that contribute to the similarities in activation pathways?",146.041;150.966;162.564,153.19,0.77
"Are these residues conserved and significantly part of certain structural elements?",186.581;218.897;227.507;245.018,219.50,0.62
"Are there significant rearrangements in the process of activation?",214.423;226.402;232.036,224.29,0.61
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",87.583;90.28;97.48,91.78,0.91
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",74.457;94.205;98.504,89.06,0.91
"Is there any preference for the phosphorylation of regions in receptors?",192.133;204.045;209.024,201.73,0.66
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",123.569;130.634;140.082,131.43,0.82
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",73.612;103.221;119.899,98.91,0.89
"Which residue positions in the barcode are universally conserved? ",218.301;226.43;229.026;234.206,226.99,0.61
"How GPCRs recognize G-protein barcodes?",147.125;147.79;155.405,150.11,0.78
"What is the over model for the GPCR-G protein interaction selectivities?",146.358;151.292;154.655;158.39;163.4,154.82,0.77
"Is there a selectivity bar code in RGS for GPCR binding?",149.239;174.55;180.629;186.902,172.83,0.73
"What is the structural preference for selectivity barcode residues of RGS?",111.858;135.788;153.97,133.87,0.81
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",124.687;129.462;138.163,130.77,0.82
"What is the overall mechanism for RGS-Galpha-based signaling?",170.445;174.38;189.33,178.05,0.72
"What is the mechanism through which the sensor works?",286.906;291.881;305.822,294.87,0.46
"In which cell lines did the sensor give predicted or unexpected results?",229.967;232.472;237.255;245.991,236.42,0.59
"How were unexpected results validated? Which orthogonal assays were used?",257.98;281.877;288.152,276.00,0.50
"What is the sequence of G protein activation steps?",202.892;203.962;205.151,204.00,0.66
"Summarize what is happening with GPCR during G protein activation?",127.199;138.189;146.372,137.25,0.81
"Which technologies were used to measure G protein activation?",146.416;150.702;155.467;170.731,155.83,0.76
"What is the difference between cell surface membrane signaling and endosomal signaling?",207.302;226.85;231.65;239.492,226.32,0.61
"Which sensors or assays can be used to explain different compartmentalization of signaling?",193.352;197.481;207.633;218.223,204.17,0.66
"How _arrestin-biased GPCR interact with _arrestin and why it doesnï¿½t interact with G proteins?",113.081;114.149;121.782,116.34,0.85
"Which sequence or structural motifs differentiate neutral, G protein and _arrestin-biased GPCRs? ",136.704;138.611;144.784,140.03,0.80
"Which regions of GPCR modulate ligand efficacy and which potency?",149.711;169.111;170.038;173.757,165.65,0.74
"How do human and mouse TAAR1 differentiate between different ligands?",112.252;120.984;129.142,120.79,0.84
"What is the basis of polypharmacology on TAAR1 receptors?",141.22;147.181;154.818,147.74,0.78
"Do different ligands on the TAAR1 receptor induce different G protein signaling?",128.64;138.525;139.882;145.706,138.19,0.80
"In which physiological or pathophysiological processes is TAAR1 signaling active?",160.99;166.591;188.77,172.12,0.73
"How are GPCR and kinase signaling connected?",162.075;165.015;169.134,165.41,0.74
"Which studies and how identified crosstalk between the GPCR and kinase signaling?",141.976;142.819;147.641,144.15,0.79
"In which therapeutic areas we could target RTK/GPCR crosstalk?",152.394;170.378;191.834,171.54,0.73
"What is the mechanism of GPCR-related gene transcription? ",195.901;197.387;199.335;202.597,198.81,0.67
"Which G-proteins have been assayed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",105.624;115.535;116.901;123.493,115.39,0.85
"What is the read-out of the sensors in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",149.568;178.596;198.684,175.62,0.72
"What is the cell-line in which the sensor has been validated in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",145.24;149.672;165.184,153.37,0.77
"Is the sensor multiplexed in the paper - Direct interrogation of context-dependent GPCR activity with auniversal biosensor platform?",128.93;161.234;173.27,154.48,0.77
