question,distances,mean_distance,relevance_score
"Despite the diversity among GPCRs, are there similarities in their activation pathways?",129.157;143.181;144.482;150.099;156.995;170.809,149.12,0.78
"What are the residues and their contacts that contribute to the similarities in activation pathways?",147.61;159.495;132.133,146.41,0.79
"Are these residues conserved and significantly part of certain structural elements?",219.668;231.91;233.418,228.33,0.60
"Are there significant rearrangements in the process of activation?",233.56;234.919;236.157;238.57,235.80,0.59
"Do different patterns of receptor phosphorylation can influence the conformation of arrestins leading to various functional outcomes?",74.817;75.262;88.363,79.48,0.93
"What is the mechanism by which arrestins are activated and how different patterns of receptor phosphorylation induce distinct conformational changes in arrestins?",64.562;88.474;91.018,81.35,0.93
"Is there any preference for the phosphorylation of regions in receptors?",189.795;201.977;205.762,199.18,0.67
"How do the phosphorylation sites interact with arrestins and what are the conserved interaction sites in arrestins?",128.124;129.904;131.246;133.628;137.555,132.09,0.82
"Is there the existence of a "selectivity barcode" on each of the 16 human G proteins for GPCR binding?",78.948;117.58;117.865;124.837;132.798,114.41,0.86
"Which residue positions in the barcode are universally conserved? ",226.237;226.49;237.572,230.10,0.60
"How GPCRs recognize G-protein barcodes?",144.205;149.464;153.027;164.499,152.80,0.77
"What is the over model for the GPCR-G protein interaction selectivities?",140.978;150.087;163.629,151.56,0.77
"Is there a selectivity bar code in RGS for GPCR binding?",184.475;184.74;191.294,186.84,0.70
"What is the structural preference for selectivity barcode residues of RGS?",136.276;142.478;157.224,145.33,0.79
"How are non-synonymous variants in selectivity barcodes of RGS proteins and their impact on signaling?",113.401;128.506;136.559,126.16,0.83
"What is the overall mechanism for RGS-Galpha-based signaling?",172.718;183.078;187.028,180.94,0.71
"What is the mechanism through which the sensor works?",299.243;305.822;306.089;312.863,306.00,0.43
"In which cell lines did the sensor give predicted or unexpected results?",234.886;239.539;248.789,241.07,0.58
"How were unexpected results validated? Which orthogonal assays were used?",274.12;274.23;279.732;285.657;293.466,281.44,0.49
"What is the sequence of G protein activation steps?",205.648;210.478;211.555,209.23,0.65
"Summarize what is happening with GPCR during G protein activation?",138.61;140.594;144.052;149.292,143.14,0.79
"Which technologies were used to measure G protein activation?",142.53;159.3;159.809;164.417,156.51,0.76
"What is the difference between cell surface membrane signaling and endosomal signaling?",219.053;222.847;228.03,223.31,0.61
"Which sensors or assays can be used to explain different compartmentalization of signaling?",193.002;207.772;220.016,206.93,0.65
